0,Golden Acres Market,12:00,16:00,8754 avenue ,black,NJ,226-817-8409,"Spring, Fall"
1,Meadowview Market,10:00,19:00,6136 avenue ,green,GA,863-412-5536,All
2,Whispering Pines Market,11:00,17:00,2595 street ,yellow,NJ,529-617-5578,Spring
3,Sunny Hill Market,12:00,18:00,7168 street ,orange,GA,838-160-3976,"Spring, Summer, Fall"
4,Apple Orchard Market,9:00,19:00,3556 street ,black,NY,684-665-7359,Spring
5,Blue Sky Market,8:00,16:00,6244 street ,green,NJ,875-252-8045,Spring
6,Hickory Ridge Market,9:00,19:00,267 avenue ,black,GA,785-396-1586,Spring
7,Maplewood Market,11:00,18:00,8253 street ,orange,NJ,201-827-9221,Summer
8,Green Pastures Market,9:00,18:00,1349 avenue ,grey,NJ,811-754-9634,All
9,Riverbend Market,12:00,19:00,3025 street ,grey,NJ,926-612-3120,Fall
10,Prairieview Market,8:00,16:00,1343 street ,grey,NY,197-400-3503,Fall
11,Sunflower Fields Market,10:00,16:00,5369 avenue ,brown,NY,493-672-6515,Summer
12,Golden Harvest Market,8:00,16:00,7042 street ,red,GA,680-711-8399,All
13,Cottonwood Grove Market,8:00,19:00,7366 avenue ,brown,NY,614-451-2172,"Summer, Fall"
14,Red Maple Market,11:00,17:00,8174 avenue ,red,NY,830-982-6793,Spring
15,Silver Creek Market,9:00,17:00,4024 avenue ,grey,NY,426-389-2550,Fall
16,Hidden Springs Market,12:00,18:00,4532 street ,brown,NY,182-870-6153,"Spring, Summer, Fall"
17,Misty Morning Market,12:00,16:00,4069 street ,yellow,NY,932-577-2544,Fall
18,Highland Hills Market,9:00,16:00,2838 street ,red,NY,141-821-1543,Spring
19,Emerald Valley Market,11:00,16:00,2935 street ,brown,NY,196-398-7974,Fall
20,Cherry Blossom Market,8:00,17:00,1351 avenue ,red,NJ,696-952-5017,"Spring, Fall"
21,Bluebell Valley Market,8:00,19:00,714 street ,red,NY,629-565-5838,Fall
22,Pine Tree Market,10:00,16:00,8573 avenue ,blue,GA,479-300-5534,Spring
23,Azure Sky Market,8:00,19:00,7577 street ,green,NJ,660-848-1347,All
24,Blossom Hill Market,11:00,19:00,1427 avenue ,black,NJ,267-376-7052,Fall
25,Sycamore Valley Market,11:00,16:00,569 avenue ,grey,NJ,525-759-8496,"Spring, Fall"
26,Sunny Slope Market,9:00,19:00,6800 street ,red,NY,229-584-5157,"Spring, Fall"
27,Mountain View Market,11:00,16:00,8095 avenue ,red,NJ,610-708-7576,"Spring, Summer, Fall"
28,Starlight Meadows Market,10:00,16:00,3043 street ,green,GA,581-908-5972,Fall
29,Crimson Clover Market,12:00,19:00,2532 avenue ,brown,NY,736-541-7699,Summer
30,Meadow Lark Market,10:00,19:00,7209 avenue ,orange,NY,786-984-6281,"Summer, Fall"
