0,467,Watercress,Watercress,8
0,467,Leeks,Leeks,6
0,467,Squash,Squash,5
0,467,Bananas,Bananas,3
0,467,Mustard greens,Mustard greens,5
0,467,Guavas,Guavas,10
0,467,Papayas,Papayas,15
0,467,Almonds,Almonds,6
0,467,Kale,Kale,5
0,467,Cranberries,Cranberries,19
0,320,Cilantro,Cilantro,18
0,320,Boysenberries,Boysenberries,10
0,320,Blueberries,Blueberries,8
0,320,Apples,Apples,8
0,320,Asparagus,Asparagus,17
0,320,Avocados,Avocados,15
0,441,Grapes,Grapes,3
0,719,Bell peppers,Bell peppers,18
0,719,Clementines,Clementines,15
0,719,Hot peppers,Hot peppers,15
0,719,Cinnamon,Cinnamon,6
0,719,Apricots,Apricots,10
0,719,Hot peppers,Hot peppers,8
0,846,Boysenberries,Boysenberries,9
0,846,Blackcurrants,Blackcurrants,7
0,846,Pomelo,Pomelo,16
1,381,Tangerines,Tangerines,11
1,381,Passionfruit,Passionfruit,15
1,381,Mustard greens,Mustard greens,1
1,381,Hazelnuts,Hazelnuts,1
1,381,Dill,Dill,15
1,259,Pomelo,Pomelo,4
1,259,Blackberries,Blackberries,20
1,259,Onions,Onions,4
1,259,Kiwi,Kiwi,19
1,137,Apricots,Apricots,11
1,137,Clementines,Clementines,0
1,430,Limes,Limes,0
1,430,Oranges,Oranges,9
1,430,Blackcurrants,Blackcurrants,5
1,430,Blueberries,Blueberries,5
1,430,Pineapples,Pineapples,1
1,430,Cherries,Cherries,3
1,649,Cilantro,Cilantro,14
1,649,Mangoes,Mangoes,18
1,309,Blueberries,Blueberries,13
1,53,Hot peppers,Hot peppers,6
1,205,Avocados,Avocados,4
1,205,Onions,Onions,18
1,205,Mustard greens,Mustard greens,17
2,839,Papayas,Papayas,2
2,262,Potatoes,Potatoes,3
2,262,Peanuts,Peanuts,7
2,262,Fennel,Fennel,0
2,262,Mangoes,Mangoes,5
2,491,Persimmons,Persimmons,0
2,491,Bananas,Bananas,7
2,491,Kumquats,Kumquats,7
2,235,Kiwi,Kiwi,7
2,235,Sage,Sage,1
2,849,Plums,Plums,9
2,849,Cilantro,Cilantro,10
2,849,Corn,Corn,19
2,849,Dates,Dates,1
2,849,Pomegranates,Pomegranates,14
2,849,Persimmons,Persimmons,17
2,367,Elderberries,Elderberries,11
2,367,Cauliflower,Cauliflower,15
2,367,Celery,Celery,13
2,367,Marionberries,Marionberries,19
2,367,Ugli fruit,Ugli fruit,11
2,367,Blackcurrants,Blackcurrants,5
2,367,Raspberries,Raspberries,0
2,367,Lettuce,Lettuce,18
2,367,Pineberries,Pineberries,10
2,367,Beans,Beans,11
2,621,Zucchini,Zucchini,8
2,621,Pineberries,Pineberries,18
2,621,Mulberries,Mulberries,2
2,621,Broccoli,Broccoli,5
2,621,Hot peppers,Hot peppers,18
