0,Golden Acres Market,9:00,16:00,4884 avenue ,yellow,PA,783-698-4808,Summer
1,Meadowview Market,10:00,18:00,2557 avenue ,red,NY,603-954-1864,All
2,Whispering Pines Market,12:00,18:00,7558 street ,yellow,NJ,583-407-8265,Fall
3,Sunny Hill Market,10:00,16:00,4848 street ,orange,NJ,103-528-3425,Spring
4,Apple Orchard Market,9:00,16:00,2902 avenue ,orange,NY,643-102-3350,Spring
5,Blue Sky Market,9:00,17:00,592 avenue ,blue,NJ,493-881-9480,"Summer, Fall"
6,Hickory Ridge Market,11:00,17:00,8250 street ,brown,PA,971-131-2166,"Spring, Summer, Fall"
7,Maplewood Market,12:00,18:00,2706 street ,brown,PA,742-526-8916,Fall
8,Green Pastures Market,11:00,17:00,6551 avenue ,brown,NY,140-170-3707,Spring
9,Riverbend Market,10:00,19:00,8080 avenue ,grey,NY,174-209-3086,All
10,Prairieview Market,8:00,16:00,1460 street ,brown,NY,995-539-3694,All
11,Sunflower Fields Market,10:00,19:00,3303 street ,red,NJ,184-591-8482,Spring
12,Golden Harvest Market,11:00,17:00,1819 avenue ,green,NJ,566-229-5515,"Spring, Fall"
13,Cottonwood Grove Market,10:00,18:00,3307 street ,green,NJ,995-874-9961,"Summer, Fall"
14,Red Maple Market,12:00,17:00,3533 avenue ,grey,NJ,795-287-9092,Summer
15,Silver Creek Market,8:00,16:00,6747 street ,yellow,NY,796-878-6983,"Spring, Fall"
16,Hidden Springs Market,12:00,18:00,3195 street ,orange,NY,887-515-3232,All
17,Misty Morning Market,9:00,18:00,5051 avenue ,red,NJ,802-572-1430,Fall
18,Highland Hills Market,8:00,16:00,4312 avenue ,red,PA,308-940-9461,Summer
19,Emerald Valley Market,12:00,17:00,8522 street ,red,PA,771-549-3940,Summer
20,Cherry Blossom Market,11:00,17:00,7307 avenue ,red,NY,296-198-3147,"Summer, Fall"
21,Bluebell Valley Market,9:00,17:00,295 street ,blue,NY,438-516-1272,All
22,Pine Tree Market,10:00,17:00,286 street ,yellow,NY,826-588-8202,Summer
23,Azure Sky Market,12:00,18:00,4870 street ,orange,PA,961-555-6376,Summer
24,Blossom Hill Market,11:00,19:00,4983 street ,green,NJ,524-823-7230,"Summer, Fall"
25,Sycamore Valley Market,8:00,19:00,3653 avenue ,orange,PA,309-547-6301,Fall
26,Sunny Slope Market,11:00,18:00,7078 street ,blue,NJ,920-805-2614,"Spring, Summer, Fall"
27,Mountain View Market,12:00,19:00,2666 avenue ,grey,NY,678-217-9861,Fall
28,Starlight Meadows Market,10:00,16:00,6994 street ,black,PA,466-150-6611,Spring
29,Crimson Clover Market,8:00,17:00,6811 avenue ,black,PA,809-311-5462,"Summer, Fall"
30,Meadow Lark Market,9:00,16:00,3573 street ,yellow,NJ,952-657-3390,Fall
